01-12-2018 00:46:29:327 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 129] TSAE session
01-12-2018 00:46:29:408 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 130] TSAE session
01-12-2018 00:46:29:413 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 131] TSAE session
01-12-2018 00:46:29:795 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 132] TSAE session
01-12-2018 00:46:29:989 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 133] TSAE session
01-12-2018 00:46:30:272 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 134] TSAE session
01-12-2018 00:46:30:581 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 135] TSAE session
01-12-2018 00:46:30:833 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 136] TSAE session
01-12-2018 00:46:31:095 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 137] TSAE session
01-12-2018 00:46:31:344 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 138] TSAE session
01-12-2018 00:46:31:346 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 139] TSAE session
01-12-2018 00:46:31:611 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 140] TSAE session
01-12-2018 00:46:38:691 groupXX@192.168.1.141:35011 [INFO] : [groupXX@192.168.1.141:35011] ADD recipe: vgnjbsym
01-12-2018 00:46:49:324 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 141] TSAE session
01-12-2018 00:46:49:328 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 142] TSAE session
01-12-2018 00:46:49:471 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 143] TSAE session
01-12-2018 00:46:49:473 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 144] TSAE session
01-12-2018 00:46:49:475 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 145] TSAE session
01-12-2018 00:46:49:811 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 146] TSAE session
01-12-2018 00:46:50:083 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 147] TSAE session
01-12-2018 00:46:50:315 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 148] TSAE session
01-12-2018 00:46:50:522 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 149] TSAE session
01-12-2018 00:46:50:828 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 150] TSAE session
01-12-2018 00:46:51:153 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 151] TSAE session
01-12-2018 00:46:51:435 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 152] TSAE session
01-12-2018 00:46:51:774 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 153] TSAE session
01-12-2018 00:46:51:960 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 154] TSAE session
01-12-2018 00:47:09:327 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 155] TSAE session
01-12-2018 00:47:09:416 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 156] TSAE session
01-12-2018 00:47:09:418 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 157] TSAE session
01-12-2018 00:47:09:617 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 158] TSAE session
01-12-2018 00:47:10:019 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 159] TSAE session
01-12-2018 00:47:10:310 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 160] TSAE session
01-12-2018 00:47:10:311 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 161] TSAE session
01-12-2018 00:47:10:626 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 162] TSAE session
01-12-2018 00:47:10:959 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 163] TSAE session
01-12-2018 00:47:11:173 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 164] TSAE session
01-12-2018 00:47:11:476 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 165] TSAE session
01-12-2018 00:47:11:682 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 166] TSAE session
01-12-2018 00:47:11:956 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 167] TSAE session
01-12-2018 00:47:12:191 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 168] TSAE session
01-12-2018 00:47:29:323 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 169] TSAE session
01-12-2018 00:47:29:325 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 170] TSAE session
01-12-2018 00:47:29:439 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 171] TSAE session
01-12-2018 00:47:29:441 groupXX@192.168.1.141:35011 [TRACE] : [TSAESessionOriginatorSide] [session: 172] TSAE session
