01-12-2018 00:46:30:363 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 132] TSAE session
01-12-2018 00:46:30:646 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 133] TSAE session
01-12-2018 00:46:30:650 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 134] TSAE session
01-12-2018 00:46:30:888 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 135] TSAE session
01-12-2018 00:46:30:891 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 136] TSAE session
01-12-2018 00:46:31:154 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 137] TSAE session
01-12-2018 00:46:31:467 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 138] TSAE session
01-12-2018 00:46:31:618 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 139] TSAE session
01-12-2018 00:46:31:620 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 140] TSAE session
01-12-2018 00:46:49:480 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 141] TSAE session
01-12-2018 00:46:49:489 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 142] TSAE session
01-12-2018 00:46:49:708 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 143] TSAE session
01-12-2018 00:46:49:909 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 144] TSAE session
01-12-2018 00:46:50:254 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 145] TSAE session
01-12-2018 00:46:50:532 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 146] TSAE session
01-12-2018 00:46:50:544 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 147] TSAE session
01-12-2018 00:46:50:812 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 148] TSAE session
01-12-2018 00:46:51:114 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 149] TSAE session
01-12-2018 00:46:51:117 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 150] TSAE session
01-12-2018 00:46:51:505 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 151] TSAE session
01-12-2018 00:46:51:830 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 152] TSAE session
01-12-2018 00:46:52:038 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 153] TSAE session
01-12-2018 00:46:52:041 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 154] TSAE session
01-12-2018 00:47:09:481 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 155] TSAE session
01-12-2018 00:47:09:665 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 156] TSAE session
01-12-2018 00:47:09:905 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 157] TSAE session
01-12-2018 00:47:09:990 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 158] TSAE session
01-12-2018 00:47:09:994 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 159] TSAE session
01-12-2018 00:47:09:996 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 160] TSAE session
01-12-2018 00:47:10:486 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 161] TSAE session
01-12-2018 00:47:10:765 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 162] TSAE session
01-12-2018 00:47:11:021 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 163] TSAE session
01-12-2018 00:47:11:353 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 164] TSAE session
01-12-2018 00:47:11:604 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 165] TSAE session
01-12-2018 00:47:11:899 groupXX@192.168.1.141:35005 [TRACE] : [TSAESessionOriginatorSide] [session: 166] TSAE session
